,Title,Published_date,Views,Likes,Dislikes,Comments,Month
0,Mann Bharryaa 2.0 - Full Song Video | Shershaah | Sidharth – Kiara | B Praak | Jaani,2021-10-22,70873,4686,66,208,Oct
1,Pyaar...Ek Tarfaa - BTS Lyric Video| Amaal Mallik| Shreya Ghoshal|Jasmin B|Manoj,2021-10-20,70785,3746,130,387,Oct
2,Ranjha - Full Song|Shershaah|Sidharth -Kiara|B Praak|Jasleen Royal|Anvita Dutt,2021-10-20,1819173,37469,1117,876,Oct
3,Raataan Lambiyan - Full Song Video|Shershaah |Sidharth–Kiara|Tanishk B.|Jubin|Asees,2021-10-19,3641663,56121,2368,1042,Oct
4,"Rihaayi De - Full Song Video|Mimi|Kriti Sanon, Pankaj T.|A. R. Rahman|Amitabh B.",2021-10-14,138975,2082,121,118,Oct
5,"Hututu - Full Song Video|Mimi|Kriti Sanon, Pankaj T.|A. R. Rahman|Amitabh B.",2021-10-14,89704,1889,89,89,Oct
6,Phuljhadiyo - Full Song Video|Mimi| Kriti Sanon|A. R. Rahman|Shilpa Rao|Amitabh B.,2021-10-14,37277,803,63,45,Oct
7,Chhoti Si Chiraiyya - Full Song Video | Mimi | Kriti Sanon | A R Rahman | Kailash Kher,2021-10-14,41966,1022,31,55,Oct
8,"Rock A Bye Baby - Full Song Video|Mimi| Kriti Sanon|A. R. Rahman|Julia G., Khatija R.",2021-10-14,60070,816,57,55,Oct
9,Hope You Don't Mind - Lyric Video|QARAN ft. The Rish|Nidhi Shah|Siddhant Kaushal,2021-10-13,40015,1375,100,107,Oct
10,"Yaane Yaane - Full Song Video|Mimi|Kriti Sanon, Pankaj T.|A. R. Rahman|Amitabh B.",2021-10-13,69103,1738,133,123,Oct
11,Main Janu Na-Arjuna Harjai - Lyric Video|Jonita Gandhi|Sonarika Bhadoria|Love Song 2021,2021-10-12,56377,1954,144,115,Oct
12,"Param Sundari - Full Song Video|Mimi|Kriti, Pankaj T.|A. R. Rahman|Shreya|Amitabh B.",2021-10-08,20088468,200722,14647,3115,Oct
13,"Oceana - Official Lyric Video | Rashmeet Kaur, GURBAX, Deep Kalsi",2021-10-06,85161,1575,174,93,Oct
14,"Pritam, Shreya Ghoshal - Mausam (From ""Kidnap"")",2021-09-30,236431,3491,270,215,Sep
15,Dino James - Sound De | Official Lyric Video,2021-09-28,64594,1519,179,107,Sep
16,"Meri Ek Ada Shola (From ""Kidnap"")",2021-09-15,216376,2037,255,132,Sep
17,"Pritam, Suzanne D'Mello - Hey Ya (From ""Kidnap"")",2021-09-15,206372,1684,227,32,Sep
18,Ala Barfi - Barfi|Pritam|Mohit Chauhan|Ranbir,2021-09-13,172290,3941,107,146,Sep
19,Main Kya Karoon - Barfi|Pritam|Nikhil Paul George|Ranbir|Ileana D'Cruz,2021-09-13,487939,6242,182,134,Sep
20,Kyon - Barfi|Pritam|Papon|Sunidhi|Ranbir|Priyanka,2021-09-13,1214085,20007,312,458,Sep
21,Main Kya Karoon - Video Edit - Barfi|Pritam|Nikhil Paul George|Ranbir|Ileana D'Cruz,2021-09-13,53713,1108,35,36,Sep
22,Phir Le Aya Dil - Video Edit - Barfi|Pritam|Arijit|Ranbir|Priyanka|Ileana D'Cruz,2021-09-13,429145,7899,148,174,Sep
23,Aashiyan - Barfi|Pritam|Shreya|Nikhil Paul George|Ranbir|Priyanka,2021-09-13,306707,7466,101,146,Sep
24,Ala Barfi - Video Edit - Barfi|Pritam|Mohit Chauhan|Ranbir|Priyanka Chopra,2021-09-13,17576,529,30,24,Sep
25,Kyon - Video Edit - Barfi|Pritam|Papon|Sunidhi|Ranbir|Priyanka,2021-09-13,46637,1003,44,48,Sep
26,Phir Le Aya Dil - Redux - Barfi|Pritam|Shafqat Amanat Ali|Ranbir|Priyanka|Ileana D'Cruz,2021-09-13,562216,8856,148,218,Sep
27,Aashiyan - Solo - Barfi|Pritam|Nikhil Paul George|Ranbir,2021-09-13,318347,5542,127,118,Sep
28,Saawali Si Raat - Barfi|Pritam|Arijit|Ranbir|Priyanka Chopra,2021-09-13,102862,3040,59,258,Sep
29,Mann Bharryaa 2.0 - Official Lyric Video | Shershaah | Sidharth – Kiara | B Praak | Jaani,2021-09-09,20246115,219136,7692,4251,Sep
30,Kabhii Tumhhe - Lyric Video|Shershaah|Sidharth-Kiara|Javed-Mohsin|Darshan Raval,2021-09-07,4071743,72258,1588,1402,Sep
31,Raataan Lambiyan - Lyric Video|Shershaah|Sidharth – Kiara|Tanishk B.|Jubin|Asees,2021-08-31,119124317,1262694,69963,21557,Aug
32,Ranjha - Lyric Video|Shershaah|Sidharth-Kiara|B Praak|Jasleen Royal|Anvita Dutt,2021-08-31,52645071,525779,20214,6678,Aug
33,"Rock A Bye Baby - Lyric Video|Mimi|Kriti Sanon | A. R. Rahman | Julia G., Khatija R.",2021-08-25,227177,3765,290,159,Aug
34,Chhoti Si Chiraiyya - Official Lyric Video|Mimi | Kriti Sanon|A R Rahman |Kailash Kher,2021-08-16,429299,5139,281,142,Aug
35,Phuljhadiyo - Official Lyric Video|Mimi|Kriti Sanon|A. R. Rahman|Shilpa Rao|Amitabh B.,2021-08-13,187231,2258,223,89,Aug
36,"Hututu - Lyric Video|Mimi|Kriti Sanon,Pankaj Tripathi|A. R. Rahman|Amitabh B.",2021-08-09,492386,8278,262,265,Aug
37,Yaane Yaane - Yaane Yaane (Lyric Video),2021-08-09,164643,2701,236,89,Aug
38,"Rihaayi De - Lyric Video|Mimi|Kriti Sanon, Pankaj Tripathi|A. R. Rahman|Amitabh B.",2021-08-03,656812,10575,348,402,Aug
39,A.R. Rahman & Gulzar - Meri Pukaar Suno | Lyric Video (English),2021-08-02,132709,1673,121,45,Aug
40,A.R. Rahman & Gulzar - Meri Pukaar Suno Lyric Video (हिंदी),2021-08-02,51798,1612,89,79,Aug
41,"Param Sundari - Official Lyric Video|Mimi|Kriti,Pankaj T.|A. R. Rahman|Shreya Amitabh",2021-07-27,75324868,559783,49802,6397,Jul
42,Tu Lagdi Hot - Official Lyric Video | Sanam Puri | The Successful Loosers,2021-07-23,145816,1477,416,76,Jul
43,Fakeer Bandeya - Official Lyric Video | Gajendra Verma | The Successful Loosers,2021-07-23,39007,532,51,22,Jul
44,Jugaad ki Zindagi - Official Lyric Video | Parry G | The Successful Loosers,2021-07-23,28162,638,106,40,Jul
45,Udne Do - Official Lyric Video | Shaan | The Successful Loosers,2021-07-23,33115,821,76,46,Jul
46,Parindey - Official Lyric Video | Mohammed Irfan | The Successful Loosers,2021-07-23,30907,1053,60,64,Jul
47,Vayu - Tohfa | Official Lyric Video,2021-07-09,152166,2297,197,109,Jul
48,Abeer Arora & Manj Musik - Beja Beja | Official Lyric Video,2021-06-25,223743,2923,422,114,Jun
49,Nadiyon Paar - Full Song - Roohi | Janhvi Kapoor| Sachin-Jigar | Shamur | Rashmeet K,2021-06-01,120398659,767081,78120,13344,Jun
50,Mann Bharryaa 2.0 - Full Song Video | Shershaah | Sidharth – Kiara | B Praak | Jaani,2021-10-22,70873,4686,66,208,Oct
51,Pyaar...Ek Tarfaa - BTS Lyric Video| Amaal Mallik| Shreya Ghoshal|Jasmin B|Manoj,2021-10-20,70785,3746,130,387,Oct
52,Ranjha - Full Song|Shershaah|Sidharth -Kiara|B Praak|Jasleen Royal|Anvita Dutt,2021-10-20,1819173,37469,1117,876,Oct
53,Raataan Lambiyan - Full Song Video|Shershaah |Sidharth–Kiara|Tanishk B.|Jubin|Asees,2021-10-19,3641663,56121,2368,1042,Oct
54,"Rihaayi De - Full Song Video|Mimi|Kriti Sanon, Pankaj T.|A. R. Rahman|Amitabh B.",2021-10-14,138975,2082,121,118,Oct
55,"Hututu - Full Song Video|Mimi|Kriti Sanon, Pankaj T.|A. R. Rahman|Amitabh B.",2021-10-14,89704,1889,89,89,Oct
56,Phuljhadiyo - Full Song Video|Mimi| Kriti Sanon|A. R. Rahman|Shilpa Rao|Amitabh B.,2021-10-14,37277,803,63,45,Oct
57,Chhoti Si Chiraiyya - Full Song Video | Mimi | Kriti Sanon | A R Rahman | Kailash Kher,2021-10-14,41966,1022,31,55,Oct
58,"Rock A Bye Baby - Full Song Video|Mimi| Kriti Sanon|A. R. Rahman|Julia G., Khatija R.",2021-10-14,60070,816,57,55,Oct
59,Hope You Don't Mind - Lyric Video|QARAN ft. The Rish|Nidhi Shah|Siddhant Kaushal,2021-10-13,40015,1375,100,107,Oct
60,"Yaane Yaane - Full Song Video|Mimi|Kriti Sanon, Pankaj T.|A. R. Rahman|Amitabh B.",2021-10-13,69103,1738,133,123,Oct
61,Main Janu Na-Arjuna Harjai - Lyric Video|Jonita Gandhi|Sonarika Bhadoria|Love Song 2021,2021-10-12,56377,1954,144,115,Oct
62,"Param Sundari - Full Song Video|Mimi|Kriti, Pankaj T.|A. R. Rahman|Shreya|Amitabh B.",2021-10-08,20088468,200722,14647,3115,Oct
63,"Oceana - Official Lyric Video | Rashmeet Kaur, GURBAX, Deep Kalsi",2021-10-06,85161,1575,174,93,Oct
64,"Pritam, Shreya Ghoshal - Mausam (From ""Kidnap"")",2021-09-30,236431,3491,270,215,Sep
65,Dino James - Sound De | Official Lyric Video,2021-09-28,64594,1519,179,107,Sep
66,"Meri Ek Ada Shola (From ""Kidnap"")",2021-09-15,216376,2037,255,132,Sep
67,"Pritam, Suzanne D'Mello - Hey Ya (From ""Kidnap"")",2021-09-15,206372,1684,227,32,Sep
68,Ala Barfi - Barfi|Pritam|Mohit Chauhan|Ranbir,2021-09-13,172290,3941,107,146,Sep
69,Main Kya Karoon - Barfi|Pritam|Nikhil Paul George|Ranbir|Ileana D'Cruz,2021-09-13,487939,6242,182,134,Sep
70,Kyon - Barfi|Pritam|Papon|Sunidhi|Ranbir|Priyanka,2021-09-13,1214085,20007,312,458,Sep
71,Main Kya Karoon - Video Edit - Barfi|Pritam|Nikhil Paul George|Ranbir|Ileana D'Cruz,2021-09-13,53713,1108,35,36,Sep
72,Phir Le Aya Dil - Video Edit - Barfi|Pritam|Arijit|Ranbir|Priyanka|Ileana D'Cruz,2021-09-13,429145,7899,148,174,Sep
73,Aashiyan - Barfi|Pritam|Shreya|Nikhil Paul George|Ranbir|Priyanka,2021-09-13,306707,7466,101,146,Sep
74,Ala Barfi - Video Edit - Barfi|Pritam|Mohit Chauhan|Ranbir|Priyanka Chopra,2021-09-13,17576,529,30,24,Sep
75,Kyon - Video Edit - Barfi|Pritam|Papon|Sunidhi|Ranbir|Priyanka,2021-09-13,46637,1003,44,48,Sep
76,Phir Le Aya Dil - Redux - Barfi|Pritam|Shafqat Amanat Ali|Ranbir|Priyanka|Ileana D'Cruz,2021-09-13,562216,8856,148,218,Sep
77,Aashiyan - Solo - Barfi|Pritam|Nikhil Paul George|Ranbir,2021-09-13,318347,5542,127,118,Sep
78,Saawali Si Raat - Barfi|Pritam|Arijit|Ranbir|Priyanka Chopra,2021-09-13,102862,3040,59,258,Sep
79,Mann Bharryaa 2.0 - Official Lyric Video | Shershaah | Sidharth – Kiara | B Praak | Jaani,2021-09-09,20246115,219136,7692,4251,Sep
80,Kabhii Tumhhe - Lyric Video|Shershaah|Sidharth-Kiara|Javed-Mohsin|Darshan Raval,2021-09-07,4071743,72258,1588,1402,Sep
81,Raataan Lambiyan - Lyric Video|Shershaah|Sidharth – Kiara|Tanishk B.|Jubin|Asees,2021-08-31,119124317,1262694,69963,21557,Aug
82,Ranjha - Lyric Video|Shershaah|Sidharth-Kiara|B Praak|Jasleen Royal|Anvita Dutt,2021-08-31,52645071,525779,20214,6678,Aug
83,"Rock A Bye Baby - Lyric Video|Mimi|Kriti Sanon | A. R. Rahman | Julia G., Khatija R.",2021-08-25,227177,3765,290,159,Aug
84,Chhoti Si Chiraiyya - Official Lyric Video|Mimi | Kriti Sanon|A R Rahman |Kailash Kher,2021-08-16,429299,5139,281,142,Aug
85,Phuljhadiyo - Official Lyric Video|Mimi|Kriti Sanon|A. R. Rahman|Shilpa Rao|Amitabh B.,2021-08-13,187231,2258,223,89,Aug
86,"Hututu - Lyric Video|Mimi|Kriti Sanon,Pankaj Tripathi|A. R. Rahman|Amitabh B.",2021-08-09,492386,8278,262,265,Aug
87,Yaane Yaane - Yaane Yaane (Lyric Video),2021-08-09,164643,2701,236,89,Aug
88,"Rihaayi De - Lyric Video|Mimi|Kriti Sanon, Pankaj Tripathi|A. R. Rahman|Amitabh B.",2021-08-03,656812,10575,348,402,Aug
89,A.R. Rahman & Gulzar - Meri Pukaar Suno | Lyric Video (English),2021-08-02,132709,1673,121,45,Aug
90,A.R. Rahman & Gulzar - Meri Pukaar Suno Lyric Video (हिंदी),2021-08-02,51798,1612,89,79,Aug
91,"Param Sundari - Official Lyric Video|Mimi|Kriti,Pankaj T.|A. R. Rahman|Shreya Amitabh",2021-07-27,75324868,559783,49802,6397,Jul
92,Tu Lagdi Hot - Official Lyric Video | Sanam Puri | The Successful Loosers,2021-07-23,145816,1477,416,76,Jul
93,Fakeer Bandeya - Official Lyric Video | Gajendra Verma | The Successful Loosers,2021-07-23,39007,532,51,22,Jul
94,Jugaad ki Zindagi - Official Lyric Video | Parry G | The Successful Loosers,2021-07-23,28162,638,106,40,Jul
95,Udne Do - Official Lyric Video | Shaan | The Successful Loosers,2021-07-23,33115,821,76,46,Jul
96,Parindey - Official Lyric Video | Mohammed Irfan | The Successful Loosers,2021-07-23,30907,1053,60,64,Jul
97,Vayu - Tohfa | Official Lyric Video,2021-07-09,152166,2297,197,109,Jul
98,Abeer Arora & Manj Musik - Beja Beja | Official Lyric Video,2021-06-25,223743,2923,422,114,Jun
99,Nadiyon Paar - Full Song - Roohi | Janhvi Kapoor| Sachin-Jigar | Shamur | Rashmeet K,2021-06-01,120398659,767081,78120,13344,Jun
